track_name,artist(s)_name,released_year,average_bpm,average_acousticness,average_instrumentalness,average_liveness,average_speechiness,most_common_key,max_danceability_%
"""Apna Bana Le (From """"Bhediya"""")""","Arijit Singh, Sachin-Jigar",2022,94.0,80.0,0.0,6.0,3.0,A,59
"""Besharam Rang (From """"Pathaan"""")""","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",2022,116.0,6.0,0.0,15.0,4.0,G#,77
"""Come Back Home - From """"Purple Hearts""""""",Sofia Carson,2022,145.0,24.0,0.0,12.0,4.0,G,56
"""I'm Tired - From """"Euphoria"""" An Original HBO Series""",Labrinth,2022,71.0,19.0,0.0,30.0,3.0,Unknown,28
"""Kesariya (From """"Brahmastra"""")""","Pritam, Arijit Singh, Amitabh Bhattacharya",2022,94.0,57.0,0.0,10.0,3.0,Unknown,58
"""Nobody Like U - From """"Turning Red""""""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",2022,105.0,13.0,0.0,9.0,15.0,A,91
"""Phir Aur Kya Chahiye (From """"Zara Hatke Zara Bachke"""")""","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",2023,100.0,53.0,0.0,12.0,4.0,E,56
"""Tere Vaaste (From """"Zara Hatke Zara Bachke"""")""","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023,110.0,32.0,0.0,9.0,4.0,G,76
"""What Was I Made For? [From The Motion Picture """"Barbie""""]""",Billie Eilish,2023,78.0,96.0,0.0,10.0,3.0,Unknown,44
'Till I Collapse,"Eminem, Nate Dogg",2002,171.0,7.0,0.0,8.0,20.0,C#,55
(It Goes Like) Nanana - Edit,Peggy Gou,2023,130.0,12.0,19.0,8.0,4.0,G,67
10 Things I Hate About You,Leah Kate,2022,154.0,1.0,0.0,17.0,5.0,G#,54
10:35,"Tiï¿½ï¿½sto, Tate M",2022,120.0,7.0,0.0,18.0,10.0,G#,70
2 Be Loved (Am I Ready),Lizzo,2022,156.0,9.0,0.0,8.0,11.0,G,72
2055,Sleepy hallow,2021,161.0,46.0,0.0,12.0,31.0,F#,78
212,"Mainstreet, Chefin",2022,154.0,66.0,0.0,9.0,7.0,D,79
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2022,115.0,16.0,0.0,13.0,28.0,F,90
