artist(s)_name,most_common_mode,average_energy,max_energy_%,min_energy_%,average_valence
(G)I-DLE,Minor,87.0,91,83,67.0
"21 Savage, Gunna",Major,73.0,73,73,29.0
"24kgoldn, Iann Dior",Minor,72.0,72,72,76.0
50 Cent,Minor,71.0,71,71,79.0
"A$AP Rocky, Metro Boomin, Roisee",Minor,53.0,53,53,13.0
"Abhijay Sharma, Riar Saab",Minor,74.0,74,74,85.0
"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",Minor,45.0,45,45,83.0
Adele,Major,63.5,76,37,41.75
Aerosmith,Minor,43.0,43,43,24.0
Agust D,Major,84.0,84,84,83.0
"Aitana, zzoilo",Major,76.0,76,76,36.0
"Ak4:20, Cris Mj, Pailita",Major,79.0,79,79,91.0
Alec Benjamin,Minor,55.0,55,55,51.0
"Alvaro Diaz, Rauw Alejandro",Minor,74.0,74,74,37.0
"Ana Castela, AgroPlay",Major,71.0,71,71,61.0
Andy Williams,Major,60.0,60,60,76.0
Anggi Marito,Major,44.0,44,44,18.0
Anitta,Minor,73.0,73,73,40.0
"Anitta, Tini, Becky G",Major,83.0,83,83,80.0
"AnnenMayKantereit, Giant Rooks",Minor,43.0,43,43,33.0
"Anuel Aa, Jhay Cortez",Major,84.0,84,84,58.0
"Anuel Aa, Myke Towers, Jhay Cortez",Minor,75.0,75,75,75.0
"Arcangel, Bad Bunny",Major,70.0,70,70,58.0
"Arcangel, Bizarrap",Minor,78.0,78,78,79.0
"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",Minor,76.0,76,76,61.0
Arctic Monkeys,Major,60.75,85,42,46.75
Ariana Grande,Major,71.5,80,63,59.5
"Ariana Grande, The Weeknd",Major,66.0,79,53,56.5
"Arijit Singh, Sachin-Jigar",Major,56.0,56,56,44.0
"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",Major,55.0,55,55,53.0
"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",Major,74.0,74,74,62.0
Armani White,Major,50.0,50,50,75.0
"Aventura, Bad Bunny",Major,86.0,86,86,79.0
