track_name,artist(s)_name,released_year,total_streams,total_playlists,total_charts
Love Yourself,Justin Bieber,2015,2123309722,25449,128
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",2022,333146475,3626,5
PERO Tï¿,"Karol G, Quevedo",2023,93438910,412,30
Woman,Doja Cat,2021,1329090101,10089,114
Last Night,Morgan Wallen,2023,429829812,2487,452
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2021,374706940,5228,106
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2023,144565150,2313,648
Si Te La Encuentras Por Ahï¿,Feid,2022,179061440,1420,14
N95,Kendrick Lamar,2022,301242089,5659,222
positions,Ariana Grande,2020,1252563873,8477,57
Special,SZA,2022,88092256,915,21
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",2022,240918092,2771,11
Sacrifice,The Weeknd,2022,326792833,4654,137
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",2022,323358833,935,119
When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2021,226897599,3424,21
Kahani Suno 2.0,Kaifi Khalil,2022,156777415,164,17
Wild Flower (with youjeen),RM,2022,135611421,369,78
Dakiti,"Bad Bunny, Jhay Cortez",2020,1763363713,11929,221
CORAZï¿½ï¿½N VA,Maria Becerra,2023,43857627,400,133
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",2022,107255472,2160,3
BREAK MY SOUL,Beyoncï¿,2022,354614964,10205,77
ýýýabcdefu,Gayle,2021,1007612429,7960,90
Thought You Should Know,Morgan Wallen,2022,203221468,985,118
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,123122413,1206,255
Until I Found You,Stephen Sanchez,2021,726434358,4650,562
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",2022,195516622,1626,24
Cheques,Shubh,2023,47956378,74,75
Players,Coi Leray,2022,335074782,4357,294
Streets,Doja Cat,2019,865640097,5992,99
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023,115364561,2106,1376
Never Felt So Alone,Labrinth,2023,117747907,1827,28
GATï¿½ï¿½,"Maldy, Karol G",2022,322336177,3424,67
Efecto,Bad Bunny,2022,1047480053,4081,106
Every Summertime,NIKI,2021,290228626,1246,10
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",2022,720434240,3149,39
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023,200647221,1362,342
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",2021,184937148,1182,38
LALA,Myke Towers,2023,133716286,1580,570
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2023,77233241,443,41
Poland,Lil Yachty,2022,115331792,1646,0
Fast Car,Luke Combs,2023,157058870,1538,538
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2023,57089066,963,3
Titi Me Preguntï¿,Bad Bunny,2022,1264310836,9300,355
Stay Alive (Prod. SUGA of BTS),Jung Kook,2022,246376690,614,119
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2022,221409663,1765,79
Romantic Homicide,d4vd,2022,681583126,2467,87
En El Radio Un Cochinero,Victor Cibrian,2022,164856284,520,36
you broke me first,Tate McRae,2020,1180094974,7123,20
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2022,222612678,1566,73
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",2022,85924992,1614,0
TV,Billie Eilish,2022,338564981,3142,116
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",2011,1953533826,12826,98
Reminder,The Weeknd,2016,684675814,6801,150
La Corriente,"Tony Dize, Bad Bunny",2022,479655659,1822,34
Made You Look,Meghan Trainor,2022,502574952,4225,48
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2022,91656026,1196,10
Formula,Labrinth,2019,554875730,3570,93
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",1971,460492795,11349,1
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2021,258316038,697,92
Hold My Hand,Lady Gaga,2022,238350348,2861,115
Something in the Orange,Zach Bryan,2022,449701773,3395,229
CHORRITO PA LAS ANIMAS,Feid,2022,345031710,2384,109
Smells Like Teen Spirit - Remastered 2021,Nirvana,1991,1690192927,62623,294
Por las Noches,Peso Pluma,2021,330346424,469,145
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2022,1133865788,6305,192
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1968,1145727611,16614,218
Out of Time,The Weeknd,2022,339659802,3822,148
Love Language,SZA,2022,110849052,1151,63
Fin de Semana,"Oscar Maydon, Junior H",2023,307370144,609,129
Nosso Quadro,"Ana Castela, AgroPlay",2023,233801632,974,172
Far,SZA,2022,51641685,683,15
I Hate U,SZA,2021,356709897,4203,96
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",2023,90839753,1181,303
Makeba,Jain,2015,165484133,8913,1674
Mockingbird,Eminem,2004,1241559043,15428,368
Demons,Imagine Dragons,2012,1840364617,30184,112
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",2022,237351106,4697,13
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,2022,227918678,2618,0
cï¿½ï¿½mo dormi,Rels B,2022,331511413,1488,50
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2022,263453310,1353,83
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",2021,1223481149,840,10
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2023,116334601,327,64
Just The Way You Are,Bruno Mars,2010,1641426668,24134,13
"""Besharam Rang (From """"Pathaan"""")""","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",2022,140187018,153,83
Softcore,The Neighbourhood,2018,599770206,4073,144
First Class,Jack Harlow,2022,694525298,9037,59
Savior - Interlude,Kendrick Lamar,2022,37091576,1197,0
Rara Vez,"Taiu, Milo j",2023,248088961,936,152
Stan,"Eminem, Dido",1999,918915401,21378,63
Perfect,Ed Sheeran,2017,2559529074,18697,13
Jingle Bells - Remastered 1999,Frank Sinatra,1957,178660459,4423,3
FEARLESS,LE SSERAFIM,2022,229497852,656,75
How Do I Make You Love Me?,The Weeknd,2022,119238316,1937,47
Moscow Mule,Bad Bunny,2022,909001996,4731,157
LOVE DIVE,IVE,2022,305771063,794,133
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",2022,556585270,5694,133
vampire,Olivia Rodrigo,2023,140003974,1582,1283
Vampiro,"Matuï¿½ï¿½, Wiu, ",2022,187772591,605,7
No Role Modelz,J. Cole,2014,1791000570,21720,115
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2023,11956641,328,78
Broke Boys,"Drake, 21 Savage",2022,106249219,1068,8
Down Under (feat. Colin Hay),"Luude, Colin Hay",2021,252871192,3648,23
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2023,66902503,928,184
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",2022,191873381,1199,10
MAMIII,"Karol G, Becky G",2022,716591492,7135,164
Numb,"Marshmello, Khalid",2022,295307001,4072,88
Counting Stars,OneRepublic,2013,2011464183,32788,304
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2023,60350538,369,2
THE SHADE,Rex Orange County,2022,244928911,1222,20
Bye,Peso Pluma,2023,95053634,345,186
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2023,71573339,306,18
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",2022,86176890,2308,0
After Hours,The Weeknd,2020,698086140,8347,343
DOGTOOTH,"Tyler, The Creator",2023,80758350,1520,33
Acapulco,Jason Derulo,2021,363467642,3391,6
SNAP,Rosa Linn,2022,1437674063,5460,475
ýýý98 Braves,Morgan Wallen,2023,56533272,288,15
BackOutsideBoyz,Drake,2022,93367537,1055,5
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2022,319546754,1704,70
Primera Cita,Carin Leon,2022,77309611,278,275
Master of Puppets (Remastered),Metallica,1986,704171068,6598,199
A Tu Merced,Bad Bunny,2020,685071800,4275,31
Here With Me,d4vd,2022,635412045,3408,193
Payphone,"Maroon 5, Wiz Khalifa",2012,1479264469,16090,103
Thunder,"Prezioso, Gabry Ponte, LUM!X",2021,422691058,5159,39
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",2021,1223481149,6882,126
Typa Girl,BLACKPINK,2022,235549288,467,140
Say You Won't Let Go,James Arthur,2016,2420461338,17462,66
Monotonï¿½,"Ozuna, Shakira",2022,380726517,3913,72
Astronaut In The Ocean,Masked Wolf,2019,1138474110,7815,25
Mr. Morale,"Kendrick Lamar, Tanna Leone",2022,58687425,1864,0
Super Gremlin,Kodak Black,2021,342779426,2638,16
she's all i wanna be,Tate McRae,2022,343197054,2867,24
METAMORPHOSIS,INTERWORLD,2021,357580552,1603,132
XQ Te Pones Asï¿,"Yandel, Feid",2022,47093942,320,1
Lover,Taylor Swift,2012,882831184,8771,138
Bound 2,Kanye West,2013,703301727,20113,18
WANDA,Quevedo,2023,175399345,906,54
S-Class,Stray Kids,2023,65496046,304,193
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",2023,109276132,1113,242
